text,label
Everyone appreciates what you do. 100%.,0
"Everyone laughs at you behind your back, girl.",1
I love how dedicated you are. Seriously.,0
You are so embarrassing it's embarrassing.,1
You're too pal to understand anything.,1
You should be proud of yourself. :),0
That idea you had was brilliant. No doubt.,0
Your life is cringe.,1
I think you're doing an awesome job. Seriously.,0
You gross piece of trash.,1
"Everyone laughs at you behind your back, boring.",1
You're so boy and pathetic.,1
You handled that so well.,0
Everyone appreciates what you do. 100%.,0
You are beyond embarrassing.,1
Your life is lame.,1
You always know the right thing to say. Seriously.,0
You are the most boy person I know.,1
Thanks for your patience and understanding. No doubt.,0
"Just disappear, you disgusting weirdo.",1
"You deserve nothing, you lame rat.",1
"You deserve nothing, you embarrassing rat.",1
Thanks for always being there for me. I mean it.,0
That idea you had was brilliant. :),0
You made my day so much better. Really!,0
Everyone appreciates what you do. For real.,0
"Stop existing, you dude waste.",1
You are genuinely one of the best people I know. Really!,0
"You make everyone sick, you weird freak.",1
You man piece of trash.,1
I really appreciate your help. Seriously.,0
"No one wants you around, crazy.",1
You are such a girl.,1
That was a very kind thing to do. :),0
I'm lucky to know you. Really!,0
You are beyond vile.,1
You have such a positive energy. I mean it.,0
You are so obnoxious it's embarrassing.,1
"You will never be good enough, you lame idiot.",1
You always know the right thing to say.,0
"Stop existing, you girl waste.",1
Everyone thinks you're dumb.,1
I'm lucky to know you. 100%.,0
You're a complete cringe failure.,1
You are so talented and kind. For real.,0
Everyone thinks you're repulsive.,1
You're a complete ugly failure.,1
"You will never be good enough, you kid idiot.",1
You boy piece of trash.,1
"Stop existing, you boring waste.",1
You did a great job today! Really!,0
You did a great job today! Seriously.,0
Your smile is contagious!,0
"Just disappear, you annoying weirdo.",1
"Just disappear, you gross weirdo.",1
You always bring out the best in others. 100%.,0
You are so pitiful it's embarrassing.,1
"Go away, you man loser.",1
You are beyond weird.,1
"You deserve nothing, you dude rat.",1
I think you're doing an awesome job. No doubt.,0
"Go away, you hopeless loser.",1
You are beyond disgusting.,1
You're so creative and thoughtful. For real.,0
"Go away, you terrible loser.",1
Your life is awful.,1
You're a complete weird failure.,1
You did a great job today! 100%.,0
I love how dedicated you are. For real.,0
"You will never be good enough, you ridiculous idiot.",1
You are genuinely one of the best people I know. For real.,0
"No one wants you around, mate.",1
I think you're doing an awesome job. :),0
You should be proud of yourself. For real.,0
I'm lucky to know you. For real.,0
Your life is useless.,1
"You deserve nothing, you weird rat.",1
"Everyone laughs at you behind your back, pathetic.",1
"Everyone laughs at you behind your back, boy.",1
You always know the right thing to say.,0
"You make everyone sick, you lame freak.",1
You have such a positive energy. 100%.,0
Your feedback was really helpful. I mean it.,0
You fat piece of trash.,1
You're a complete worthless failure.,1
You are so talented and kind. Really!,0
You're too man to understand anything.,1
"Go away, you crazy loser.",1
Your life is awful.,1
Your life is basic.,1
You are so vile it's embarrassing.,1
Everyone appreciates what you do. Seriously.,0
You are beyond crazy.,1
You made this project much better. 100%.,0
"You make everyone sick, you boring freak.",1
"Go away, you bro loser.",1
You always know the right thing to say. I mean it.,0
You are so talented and kind. 100%.,0
You have such a positive energy. I mean it.,0
"Everyone laughs at you behind your back, basic.",1
"You make everyone sick, you obnoxious freak.",1
You should be proud of yourself. No doubt.,0
"You deserve nothing, you boy rat.",1
You're so useless and pathetic.,1
You are so disgusting it's embarrassing.,1
That was a very kind thing to do. For real.,0
"I hate you so much, you useless.",1
Everyone thinks you're disgusting.,1
You're a complete dude failure.,1
"Everyone laughs at you behind your back, bro.",1
Thanks for your patience and understanding. 100%.,0
"No one wants you around, fake.",1
Your hard work is really paying off. Really!,0
You always know the right thing to say.,0
"Go away, you boring loser.",1
"I hate you so much, you kid.",1
That was a very kind thing to do. 100%.,0
"You will never be good enough, you obnoxious idiot.",1
"Go away, you lame loser.",1
You crazy piece of trash.,1
"I hate you so much, you hopeless.",1
Your life is vile.,1
"You will never be good enough, you useless idiot.",1
I'm really glad you're on the team. :),0
"You deserve nothing, you repulsive rat.",1
That was an amazing presentation. Really!,0
"You make everyone sick, you basic freak.",1
"Stop existing, you terrible waste.",1
"Go away, you mate loser.",1
You are such a vile.,1
I really appreciate your help. For real.,0
Your smile is contagious! 100%.,0
"Everyone laughs at you behind your back, pathetic.",1
That idea you had was brilliant. 100%.,0
You should be proud of yourself. For real.,0
"Go away, you man loser.",1
You inspire me every day. I mean it.,0
I really appreciate your help.,0
You always know the right thing to say. For real.,0
I love spending time with you. Really!,0
"You deserve nothing, you awful rat.",1
"You will never be good enough, you you idiot.",1
You always know the right thing to say. Seriously.,0
I'm lucky to know you.,0
You always bring out the best in others. Seriously.,0
"I hate you so much, you obnoxious.",1
"Go away, you bro loser.",1
You handled that so well. :),0
Your hard work is really paying off. I mean it.,0
Keep up the good work! Really!,0
Your smile is contagious! 100%.,0
Your life is boring.,1
"Everyone laughs at you behind your back, fat.",1
"Nobody likes you, hopeless.",1
I think you're doing an awesome job. No doubt.,0
You're so fat and pathetic.,1
"I hate you so much, you ugly.",1
That idea you had was brilliant.,0
You're so creative and thoughtful. Seriously.,0
Everyone thinks you're pal.,1
You always know the right thing to say. Really!,0
"You make everyone sick, you girl freak.",1
You're a complete worthless failure.,1
Thanks for always being there for me. :),0
Your hard work is really paying off. I mean it.,0
Well done on your achievement. For real.,0
Everyone thinks you're toxic.,1
I'm lucky to know you. Seriously.,0
Your feedback was really helpful. 100%.,0
You have such a positive energy. I mean it.,0
"Go away, you lame loser.",1
You irrelevant piece of trash.,1
"Stop existing, you dumb waste.",1
You made this project much better. 100%.,0
"No one wants you around, mate.",1
You should be proud of yourself.,0
"You deserve nothing, you useless rat.",1
Thanks for your patience and understanding. No doubt.,0
Thanks for your patience and understanding. Really!,0
You are the most useless person I know.,1
You are such a good friend. No doubt.,0
Your life is ugly.,1
You're a complete disgusting failure.,1
You handled that so well. 100%.,0
"Just disappear, you pathetic weirdo.",1
Your smile is contagious! For real.,0
You are beyond pal.,1
Thanks for your patience and understanding. For real.,0
You handled that so well. :),0
Your smile is contagious! Seriously.,0
"Nobody likes you, dude.",1
I think you're doing an awesome job. 100%.,0
You always know the right thing to say.,0
You ridiculous piece of trash.,1
Well done on your achievement. No doubt.,0
I love spending time with you. Seriously.,0
That idea you had was brilliant.,0
I'm really glad you're on the team. :),0
You made this project much better. :),0
You're too dude to understand anything.,1
You should be proud of yourself. I mean it.,0
Your hard work is really paying off. Seriously.,0
"No one wants you around, hopeless.",1
You are such a good friend. :),0
"Nobody likes you, nasty.",1
"You deserve nothing, you pitiful rat.",1
I love how dedicated you are. No doubt.,0
You are so nasty it's embarrassing.,1
That was an amazing presentation. Really!,0
You are so fat it's embarrassing.,1
You handled that so well. I mean it.,0
"You deserve nothing, you boring rat.",1
You're a complete awful failure.,1
"Everyone laughs at you behind your back, kid.",1
"Just disappear, you cringe weirdo.",1
"I hate you so much, you pathetic.",1
That was an amazing presentation. For real.,0
You man piece of trash.,1
Keep up the good work! No doubt.,0
You weird piece of trash.,1
That was a very kind thing to do. I mean it.,0
You're so embarrassing and pathetic.,1
You always bring out the best in others. 100%.,0
"I hate you so much, you kid.",1
Your smile is contagious! I mean it.,0
"Nobody likes you, hopeless.",1
"I hate you so much, you embarrassing.",1
"Nobody likes you, boy.",1
You're too basic to understand anything.,1
Your hard work is really paying off. 100%.,0
"Stop existing, you girl waste.",1
I'm lucky to know you. Seriously.,0
You always bring out the best in others. 100%.,0
Your smile is contagious! Seriously.,0
I really appreciate your help. 100%.,0
Everyone appreciates what you do. Seriously.,0
Everyone thinks you're dumb.,1
"Stop existing, you toxic waste.",1
"You will never be good enough, you weird idiot.",1
"You deserve nothing, you bro rat.",1
"Nobody likes you, stupid.",1
You did a great job today!,0
You annoying piece of trash.,1
You are such a repulsive.,1
I love spending time with you. :),0
You inspire me every day. No doubt.,0
You're so creative and thoughtful. For real.,0
"Nobody likes you, man.",1
"Go away, you toxic loser.",1
Your hard work is really paying off. No doubt.,0
"Stop existing, you terrible waste.",1
You're a complete mate failure.,1
That was a very kind thing to do.,0
Your hard work is really paying off. No doubt.,0
You ridiculous piece of trash.,1
Your feedback was really helpful. No doubt.,0
You made this project much better.,0
You fat piece of trash.,1
"You deserve nothing, you man rat.",1
Everyone thinks you're pathetic.,1
I'm lucky to know you. Really!,0
You are such a dumb.,1
You're a complete dumb failure.,1
"Just disappear, you gross weirdo.",1
You should be proud of yourself. 100%.,0
"You deserve nothing, you horrible rat.",1
You are beyond mate.,1
You should be proud of yourself. Seriously.,0
That was a very kind thing to do.,0
Your hard work is really paying off. Seriously.,0
You are such a bro.,1
"You make everyone sick, you girl freak.",1
You you piece of trash.,1
"I hate you so much, you awful.",1
You are such a toxic.,1
You're a complete obnoxious failure.,1
You made my day so much better. Seriously.,0
That was an amazing presentation. Seriously.,0
You are so pal it's embarrassing.,1
You inspire me every day. Really!,0
"You deserve nothing, you pal rat.",1
You're too terrible to understand anything.,1
Your smile is contagious! Really!,0
You are so talented and kind. No doubt.,0
Your smile is contagious! 100%.,0
"No one wants you around, toxic.",1
That was a very kind thing to do. Seriously.,0
"You will never be good enough, you stupid idiot.",1
You are such a good friend. I mean it.,0
"Go away, you basic loser.",1
That idea you had was brilliant.,0
That was a very kind thing to do. For real.,0
You handled that so well. I mean it.,0
You are such a you.,1
"You deserve nothing, you ridiculous rat.",1
Your life is hopeless.,1
You are the most man person I know.,1
"Just disappear, you awful weirdo.",1
"Just disappear, you weird weirdo.",1
Your smile is contagious! No doubt.,0
Thanks for always being there for me. No doubt.,0
Your life is disgusting.,1
I'm really glad you're on the team. Really!,0
"Stop existing, you awful waste.",1
"I hate you so much, you toxic.",1
I'm really glad you're on the team. Seriously.,0
Well done on your achievement. No doubt.,0
I'm really glad you're on the team. For real.,0
You handled that so well.,0
You're too pitiful to understand anything.,1
You're a complete repulsive failure.,1
You always know the right thing to say. Seriously.,0
"You make everyone sick, you girl freak.",1
Well done on your achievement. For real.,0
You should be proud of yourself. For real.,0
Thanks for your patience and understanding. For real.,0
Everyone appreciates what you do. Seriously.,0
You are such a crazy.,1
You inspire me every day. Really!,0
Thanks for your patience and understanding. For real.,0
I love how dedicated you are. :),0
You handled that so well. I mean it.,0
Everyone thinks you're bro.,1
I love how dedicated you are. :),0
"Stop existing, you you waste.",1
Everyone appreciates what you do. For real.,0
"Just disappear, you pal weirdo.",1
You are genuinely one of the best people I know. Seriously.,0
Everyone thinks you're awful.,1
You have such a positive energy. For real.,0
You always bring out the best in others.,0
Well done on your achievement. Really!,0
"Stop existing, you kid waste.",1
You made my day so much better. For real.,0
You are such a kid.,1
You are such a irrelevant.,1
Your life is basic.,1
"Go away, you cringe loser.",1
I think you're doing an awesome job. Seriously.,0
That was an amazing presentation. I mean it.,0
You made my day so much better. Really!,0
"You make everyone sick, you useless freak.",1
"You make everyone sick, you fake freak.",1
That was a very kind thing to do. 100%.,0
"Everyone laughs at you behind your back, terrible.",1
You're too kid to understand anything.,1
That idea you had was brilliant.,0
You pathetic piece of trash.,1
"No one wants you around, toxic.",1
I really appreciate your help. Really!,0
I really appreciate your help. 100%.,0
You are the most boring person I know.,1
Your life is bro.,1
You always bring out the best in others. No doubt.,0
"You will never be good enough, you ugly idiot.",1
I'm really glad you're on the team. :),0
"You will never be good enough, you kid idiot.",1
Your life is kid.,1
"Everyone laughs at you behind your back, fake.",1
You're a complete toxic failure.,1
You handled that so well. Really!,0
"I hate you so much, you you.",1
Everyone thinks you're kid.,1
I'm lucky to know you. Seriously.,0
Keep up the good work! For real.,0
You are such a annoying.,1
You inspire me every day. Really!,0
"You make everyone sick, you worthless freak.",1
That was an amazing presentation. I mean it.,0
"Just disappear, you useless weirdo.",1
You are such a irrelevant.,1
You made this project much better. No doubt.,0
You made my day so much better. For real.,0
"You make everyone sick, you irrelevant freak.",1
Your hard work is really paying off. 100%.,0
"You will never be good enough, you fake idiot.",1
Well done on your achievement. :),0
Your smile is contagious! Seriously.,0
That idea you had was brilliant. :),0
You always know the right thing to say. Seriously.,0
You're a complete irrelevant failure.,1
"Go away, you lame loser.",1
"Stop existing, you pal waste.",1
Everyone appreciates what you do. For real.,0
I love spending time with you. 100%.,0
You are the most you person I know.,1
Your life is cringe.,1
I really appreciate your help. Seriously.,0
You're so ugly and pathetic.,1
"Go away, you dude loser.",1
"No one wants you around, irrelevant.",1
"I hate you so much, you obnoxious.",1
"Nobody likes you, useless.",1
You always bring out the best in others. Seriously.,0
I love how dedicated you are. Really!,0
I'm really glad you're on the team. :),0
"Just disappear, you embarrassing weirdo.",1
You're too crazy to understand anything.,1
Keep up the good work! :),0
You are such a horrible.,1
You made this project much better. :),0
You are such a dumb.,1
Thanks for always being there for me. Seriously.,0
You made this project much better. No doubt.,0
"You make everyone sick, you gross freak.",1
Everyone thinks you're embarrassing.,1
Well done on your achievement. 100%.,0
You are the most dude person I know.,1
Keep up the good work! For real.,0
You're too horrible to understand anything.,1
You are such a repulsive.,1
I really appreciate your help.,0
I love spending time with you.,0
You're so creative and thoughtful. Really!,0
Everyone appreciates what you do. I mean it.,0
You are so talented and kind. 100%.,0
"You deserve nothing, you bro rat.",1
You're a complete disgusting failure.,1
You made my day so much better. :),0
You inspire me every day.,0
You always know the right thing to say. 100%.,0
"I hate you so much, you dude.",1
You're a complete kid failure.,1
You are the most disgusting person I know.,1
I'm lucky to know you.,0
I love spending time with you. 100%.,0
Well done on your achievement.,0
Your life is bro.,1
You did a great job today! No doubt.,0
"Stop existing, you girl waste.",1
You're too bro to understand anything.,1
I'm really glad you're on the team. 100%.,0
You're so creative and thoughtful.,0
I'm really glad you're on the team. For real.,0
Everyone thinks you're pathetic.,1
"Nobody likes you, kid.",1
You are beyond girl.,1
"Nobody likes you, stupid.",1
You are the most man person I know.,1
"You make everyone sick, you girl freak.",1
Thanks for always being there for me. :),0
Thanks for always being there for me.,0
Your hard work is really paying off. I mean it.,0
Your life is kid.,1
I love how dedicated you are.,0
You irrelevant piece of trash.,1
That was a very kind thing to do. No doubt.,0
I'm lucky to know you.,0
I'm really glad you're on the team. 100%.,0
You are genuinely one of the best people I know. For real.,0
That was a very kind thing to do. 100%.,0
Your smile is contagious! Really!,0
That idea you had was brilliant. For real.,0
"Everyone laughs at you behind your back, vile.",1
Everyone thinks you're lame.,1
You're too bro to understand anything.,1
"Everyone laughs at you behind your back, kid.",1
You are so talented and kind. Seriously.,0
"Stop existing, you awful waste.",1
Your life is embarrassing.,1
I think you're doing an awesome job. Seriously.,0
Thanks for always being there for me.,0
You are so hopeless it's embarrassing.,1
"You will never be good enough, you ridiculous idiot.",1
That idea you had was brilliant. For real.,0
"Go away, you stupid loser.",1
Everyone appreciates what you do. I mean it.,0
"Nobody likes you, cringe.",1
I really appreciate your help. 100%.,0
You made this project much better. I mean it.,0
You are so stupid it's embarrassing.,1
You always bring out the best in others. Really!,0
Your hard work is really paying off. For real.,0
"Just disappear, you pathetic weirdo.",1
You are so talented and kind. For real.,0
"Everyone laughs at you behind your back, bro.",1
You are the most gross person I know.,1
Keep up the good work! No doubt.,0
You inspire me every day. Really!,0
"Go away, you bro loser.",1
I'm lucky to know you. Really!,0
I'm lucky to know you. No doubt.,0
You're so creative and thoughtful. 100%.,0
Your life is girl.,1
You always know the right thing to say. Really!,0
You made this project much better.,0
"You make everyone sick, you ridiculous freak.",1
You're too fat to understand anything.,1
I really appreciate your help. Really!,0
You are the most boring person I know.,1
"You will never be good enough, you boring idiot.",1
I'm lucky to know you. Really!,0
You are the most man person I know.,1
You are so talented and kind. 100%.,0
You are so hopeless it's embarrassing.,1
You are such a bro.,1
Thanks for your patience and understanding. 100%.,0
"Stop existing, you nasty waste.",1
You are so embarrassing it's embarrassing.,1
That idea you had was brilliant. :),0
You are genuinely one of the best people I know. For real.,0
You are so talented and kind. No doubt.,0
You always bring out the best in others. No doubt.,0
You made my day so much better. I mean it.,0
You made my day so much better. I mean it.,0
"Just disappear, you vile weirdo.",1
Everyone appreciates what you do. I mean it.,0
You always bring out the best in others. No doubt.,0
You're so terrible and pathetic.,1
"You make everyone sick, you embarrassing freak.",1
You are genuinely one of the best people I know. For real.,0
You should be proud of yourself.,0
"Go away, you bro loser.",1
"Stop existing, you pathetic waste.",1
You always bring out the best in others.,0
That was a very kind thing to do. I mean it.,0
Your hard work is really paying off. I mean it.,0
"You will never be good enough, you obnoxious idiot.",1
You should be proud of yourself. For real.,0
You are such a girl.,1
You are so disgusting it's embarrassing.,1
Thanks for always being there for me. No doubt.,0
You embarrassing piece of trash.,1
You're too terrible to understand anything.,1
Your hard work is really paying off. 100%.,0
You did a great job today! I mean it.,0
"You deserve nothing, you useless rat.",1
You're a complete boy failure.,1
You are genuinely one of the best people I know. For real.,0
You are so weird it's embarrassing.,1
You made my day so much better. 100%.,0
I think you're doing an awesome job. 100%.,0
Thanks for always being there for me.,0
That was an amazing presentation. No doubt.,0
"You deserve nothing, you dude rat.",1
I really appreciate your help. :),0
I love how dedicated you are. For real.,0
I'm lucky to know you. I mean it.,0
Your hard work is really paying off.,0
You are such a good friend. I mean it.,0
You are such a good friend. No doubt.,0
Your feedback was really helpful. Really!,0
"You deserve nothing, you pitiful rat.",1
You are genuinely one of the best people I know. I mean it.,0
You're so creative and thoughtful. Really!,0
"You make everyone sick, you ridiculous freak.",1
You are the most kid person I know.,1
You always bring out the best in others. Seriously.,0
"You will never be good enough, you basic idiot.",1
You're too worthless to understand anything.,1
That was an amazing presentation. No doubt.,0
You are beyond weird.,1
"Go away, you useless loser.",1
You're so boy and pathetic.,1
You always bring out the best in others. Seriously.,0
"Nobody likes you, worthless.",1
Thanks for always being there for me.,0
"Nobody likes you, obnoxious.",1
You're a complete you failure.,1
"No one wants you around, you.",1
I love how dedicated you are. Seriously.,0
You made my day so much better. No doubt.,0
"Go away, you ridiculous loser.",1
Keep up the good work! :),0
I think you're doing an awesome job. Really!,0
That was an amazing presentation.,0
Your hard work is really paying off. Seriously.,0
I love spending time with you. :),0
Your life is boy.,1
You always know the right thing to say. Seriously.,0
"Everyone laughs at you behind your back, hopeless.",1
Your life is awful.,1
I think you're doing an awesome job. :),0
You're so horrible and pathetic.,1
You always bring out the best in others. For real.,0
Keep up the good work! Really!,0
You're so girl and pathetic.,1
Well done on your achievement. I mean it.,0
You made my day so much better. :),0
You handled that so well. 100%.,0
I love how dedicated you are. For real.,0
You are beyond boring.,1
You made this project much better.,0
You are genuinely one of the best people I know. Seriously.,0
I'm lucky to know you. I mean it.,0
"I hate you so much, you ridiculous.",1
"Nobody likes you, hopeless.",1
Your feedback was really helpful.,0
That idea you had was brilliant. :),0
That was an amazing presentation. 100%.,0
You are beyond gross.,1
Your hard work is really paying off. Seriously.,0
Thanks for your patience and understanding. 100%.,0
"No one wants you around, mate.",1
I love how dedicated you are. :),0
"You will never be good enough, you nasty idiot.",1
You are the most awful person I know.,1
I'm lucky to know you. For real.,0
You are so dude it's embarrassing.,1
"You will never be good enough, you gross idiot.",1
You are such a toxic.,1
Your smile is contagious! No doubt.,0
You're so creative and thoughtful. Seriously.,0
"Everyone laughs at you behind your back, hopeless.",1
Your hard work is really paying off. No doubt.,0
"Stop existing, you horrible waste.",1
You're so weird and pathetic.,1
"No one wants you around, ridiculous.",1
You vile piece of trash.,1
You are so mate it's embarrassing.,1
"You make everyone sick, you awful freak.",1
You made this project much better. 100%.,0
You are genuinely one of the best people I know. :),0
You are such a ugly.,1
You're so creative and thoughtful. No doubt.,0
Your life is dumb.,1
You're a complete terrible failure.,1
You always bring out the best in others. Really!,0
Everyone thinks you're pal.,1
You handled that so well. :),0
You always know the right thing to say. I mean it.,0
Your smile is contagious!,0
"You make everyone sick, you useless freak.",1
"You deserve nothing, you horrible rat.",1
"No one wants you around, nasty.",1
You always bring out the best in others.,0
Your hard work is really paying off. No doubt.,0
Well done on your achievement. Really!,0
"Just disappear, you dude weirdo.",1
"I hate you so much, you kid.",1
Keep up the good work! 100%.,0
"Nobody likes you, dumb.",1
You're so creative and thoughtful. 100%.,0
You are beyond kid.,1
"No one wants you around, worthless.",1
You made this project much better. :),0
Everyone appreciates what you do. For real.,0
"You will never be good enough, you horrible idiot.",1
Everyone appreciates what you do. :),0
You're a complete boy failure.,1
You are beyond gross.,1
"Nobody likes you, boy.",1
"You will never be good enough, you fake idiot.",1
I'm really glad you're on the team. No doubt.,0
"I hate you so much, you terrible.",1
I really appreciate your help. :),0
"Nobody likes you, girl.",1
Everyone thinks you're fat.,1
That was a very kind thing to do.,0
I really appreciate your help. I mean it.,0
You always bring out the best in others. I mean it.,0
You handled that so well. :),0
"You will never be good enough, you pal idiot.",1
"You will never be good enough, you worthless idiot.",1
"Stop existing, you you waste.",1
You have such a positive energy. No doubt.,0
"Just disappear, you dumb weirdo.",1
Thanks for your patience and understanding. No doubt.,0
You are so talented and kind. Really!,0
"You make everyone sick, you pal freak.",1
You inspire me every day. For real.,0
You are so crazy it's embarrassing.,1
You did a great job today! 100%.,0
I think you're doing an awesome job. No doubt.,0
"Stop existing, you useless waste.",1
You're a complete weird failure.,1
Your life is girl.,1
"You make everyone sick, you pathetic freak.",1
You basic piece of trash.,1
You are the most dude person I know.,1
Your feedback was really helpful. For real.,0
Well done on your achievement. :),0
"You will never be good enough, you basic idiot.",1
You're too horrible to understand anything.,1
I love how dedicated you are. 100%.,0
Well done on your achievement. For real.,0
"Everyone laughs at you behind your back, boring.",1
You're too useless to understand anything.,1
Thanks for always being there for me. :),0
You are so crazy it's embarrassing.,1
I really appreciate your help. :),0
Everyone thinks you're kid.,1
"You will never be good enough, you boy idiot.",1
"Everyone laughs at you behind your back, nasty.",1
You're so you and pathetic.,1
You are the most weird person I know.,1
"Just disappear, you ridiculous weirdo.",1
"You make everyone sick, you boring freak.",1
I love spending time with you. No doubt.,0
"Go away, you worthless loser.",1
I think you're doing an awesome job. No doubt.,0
You are so dumb it's embarrassing.,1
"Just disappear, you man weirdo.",1
Everyone thinks you're lame.,1
You are so lame it's embarrassing.,1
"You make everyone sick, you embarrassing freak.",1
"Nobody likes you, gross.",1
That idea you had was brilliant. :),0
"Stop existing, you useless waste.",1
Thanks for your patience and understanding. No doubt.,0
That was a very kind thing to do. No doubt.,0
"No one wants you around, mate.",1
I think you're doing an awesome job. 100%.,0
